name_enfood,Old,Teen,Mature,Child,Pregnant,OldStatus,TeenStatus,MatureStatus,ChildStatus,PregnantStatus,General,GeneralStatus
lemon,,,,,Bà bầu uống nước chanh trong thời kỳ mang thai là một cách hiệu quả để bổ sung các chất dinh dưỡng cần thiết. Chanh vừa là loại nước uống giúp mẹ thoải mái với vị chua nhẹ và thanh vừa giúp cung cấp các chất cần thiết cho cả mẹ và thai nhi.,good,,,,good,,
orange,"Cam là loại trái cây rất giàu vitamin C, P, beta carotene giúp làm tăng sức đề kháng cho cơ thể, nâng cao tính đàn hồi của mao quản. Ngoài khả năng làm mềm và bảo vệ mạch máu còn giúp giảm cholesterol và mỡ máu. Ngoài ra, chất pectin có trong cam giúp cơ thể đào thải các chất độc, mỡ và làm giảm sự hấp thụ cholesterol từ bên ngoài. Vì thế, người già nên ăn cam hàng ngày để giảm nguy cơ mắc các bệnh cao huyết áp, mỡ máu, xơ vữa động mạch.",,,,"Các loại quả như cam, quýt chứa nhiều vitamin C, chất xơ, vitamin, chất chống oxy hóa và các hợp chất thực vật. Chúng có thể giúp phụ nữ mang thai tăng lượng chất dinh dưỡng và nước.",,,,,good,,
avocado,,,,"Không chỉ đứng thứ 1 trong top 10 loại hoa quả tốt nhất cho trẻ sơ sinh, bơ còn được coi như thực phẩm lý tưởng nhất để trẻ nếm trong lần đầu tiên bắt đầu ăn dặm.
Một ưu điểm rất lớn nữa của trái bơ đó là không cần nấu qua lửa, bơ chỉ cần sơ chế là có thể sử dụng ngay. Đồng thời, bơ còn dễ dàng kết hợp với các loại ngũ cốc, rau củ và trái cây khác.
Các nhà khoa học cho biết, nếu con đến tuổi ăn dặm mà không được ăn bơ, mẹ đã bỏ qua “siêu phẩm vàng” giúp trẻ có được trí não và hệ miễn dịch hơn hẳn những em bé cùng lứa.
Quả bơ được coi như trái cây có giá trị dinh dưỡng cao nhất trong tất cả các loại hoa quả. Bơ sẽ nuôi dưỡng em bé với hàm lượng protein, chất xơ, axit folic, kẽm, riboflavin, thiamin, vitamin A,E,D,…dồi dào. Mẹ thậm chí không thể tìm thấy mật độ dinh dưỡng dày đặc và đa dạng như vậy trong bất cứ loại trái cây nào khác.","Bơ là một loại trái cây đặc biệt vì chúng chứa rất nhiều axit béo không bão hòa. Nó cũng giàu chất xơ, vitamin B (đặc biệt là folate), vitamin K, kali, đồng, vitamin E và vitamin C. Các chất béo lành mạnh trong bơ giúp xây dựng da, não, các mô của thai nhi, và folate có thể giúp ngăn ngừa các khuyết tật ống thần kinh.",,,,"good",good,,
garlic,,,,,"Trong văn hóa ẩm thực ở các nước, mẹ bầu vẫn có thể ăn tỏi trong bữa ăn hàng ngày của mình. Tỏi được xem là an toàn khi thai phụ chỉ ăn một lượng nhỏ. Tuy nhiên, nếu ăn hoặc sử dụng tỏi với lượng lớn (dùng tỏi để chữa bệnh) trong thời kỳ mang thai, điều này có thể không an toàn. Do đó, tốt nhất, bà bầu chỉ nên dùng tỏi như một loại gia vị trong các món ăn hàng ngày.",,,,,moderate,,
potato,"Trong khoai tây có chứa rất nhiều vitamin B1 và B6 vì vậy khoai tây chính là thực phẩm tốt cho người già, giúp ngăn ngừa táo bón, phòng ngừa ung thư, chống lão hóa vô cùng hiệu quả.
Trong khoai tây chứa khá nhiều đường bột nên khi ăn khoai tây bạn nên cân đối lượng khoai tây và cơm vừa đủ, thỉnh thoảng bạn cũng có thể sử dụng món ăn từ khoai tây thay thế thực đơn bữa ăn của mình.",,,Cho bé ăn khoai tây với lượng vừa phải đem lại nhiều lợi ích về tiêu hóa lẫn tăng cường miễn dịch. Bạn nên chế biến hợp lý món khoai này khi bé bắt đầu ăn dặm.,"Củ khoai tây, nhất là khoai tây đã mọc mầm xanh có chứa một độc tố gọi là solaninne (còn gọi là chất kiềm sinh vật). Phụ nữ mang thai nếu ăn nhiều khoai tây có chứa kiềm sinh vật khá cao, chất kiềm này sẽ tích lũy trong cơ thể và gây hiệu ứng dị tật, ăn 44,2g – 252g khoai tây có thể làm cho thai nhi dị dạng.",good,,,moderate,good,,
apple,"Táo là nguồn cung cấp vitamin C, vitamin A, folate, khoáng chất, kali, phospho, đây đều là các chất tích cực đối với hệ tiêu hóa, tránh tình trạng táo bón hay đầy bụng. Đặc biệt, chất pectin ở trong táo làm tăng vi khuẩn có lợi cho đường ruột. Các cụ nên thường xuyên ăn táo hoặc ép lấy nước uống hàng ngày đều rất tốt cho sức khỏe.",,,"Các nghiên cứu cho thấy, thành phần dinh dưỡng trong quả táo cần thiết cho sự tăng trưởng, phát triển của bé và giúp bé luôn mạnh khỏe.
Táo rất ít kalo, 100g táo tươi chỉ cung cấp khoảng 50 kalo. Táo không chứa chất béo bão hòa hay cholesterol nên tốt cho các bé, kể cả bé đang thừa cân, béo phì. Chất xơ có trong táo giúp ngăn chặn cơ thể của bé hấp thu các cholesterol xấu.
Trong các hoạt động ở môi trường mầm non có tổ chức tích hợp giáo dục.
Táo rất giàu các chất chống oxy hóa, đặc biệt là các chất phyto-flavonoids và polyphenolic. Một số flavonoid quan trọng trong táo là quercetin, epicatechin, procyanidin và B2. Ngoài ra, trong táo còn có axit tartaric tạo nên vị chua chua của táo. Tất cả những chất này giúp bảo vệ cơ thể bé khỏi những gốc tự do, tránh được bệnh tật.
Táo có chứa hàm lượng lớn vitamin C và beta - caroten. Vitamin C là chất chống oxy hóa tự nhiên mạnh mẽ. Cho bé ăn những loại quả giàu vitamin C tức là giúp cơ thể bé tăng sức đề kháng, hạn chế bị bệnh.
Táo còn là loại quả cung cấp các loại vitamin B-phức hợp như riboflavin, thiamin, pyridoxine (vitamin B6).
Táo cũng có lượng nhỏ các chất kali, phôt pho, canxi cần cho cơ thể bé. Kali sẽ giúp bé có hệ tim mạch và huyết áp khỏe mạnh, tránh mọi ảnh hưởng xấu từ muối natri.","Theo phân tích khoa học, trong một trái táo có chứa hàm lượng vitamin C cao gấp 7 lần so với trái cây họ nhà cam. Ăn táo mỗi ngày trong thai kỳ giúp mẹ bầu tăng cường sức đề kháng, ngăn ngừa táo bón, tiêu chảy, phòng ngừa sinh non một cách hiệu quả.",good,,,good,good,,
cabbage,Bắp cải: Có tác dụng chống ung thư bàng quang rất tốt nếu dùng thường xuyên.,,,,"Bà bầu ăn bắp cải ít nhất mỗi tuần một lần, kết hợp ăn cả lá xanh bên ngoài lẫn phần lá trắng bên trong. Theo các chuyên gia dinh dưỡng, phần lá xanh chứa lượng vitamin A cực kỳ dồi dào còn lá trắng lại chứa tỷ lệ sắt rất cao, mà cả hai dưỡng chất này đều cần thiết cho người đang mang thai.",good,,,,good,,
broccoli,"Bạn biết không nếu muốn tăng cường tuổi thọ, giúp cho sức khỏe được tốt hơn thì nên ăn uống nhiều trái cây và rau củ, những thực phẩm ít calo như bông cải xanh chính là chọn lựa tốt nhất. Hơn thế nữa một chế độ ăn bổ sung nhiều chất xơ, trái cây và rau còn chính là bí quyết giúp giảm nguy cơ mắc bệnh tim lên đến 76%.
Đặc biệt đối với phụ nữ khẩu phần ăn này còn đóng vai trò vô cùng quan trọng sẽ giúp giảm ung thư vú và chậm quá trình lão hóa giúp xóa mờ các nếp nhăn cực kì hiệu quả.",,,"Bông cải xanh sớm có chứa chất xơ, folate và canxi và thậm chí có thể giúp ngăn ngừa bệnh ung thư. Bạn hãy cho con thưởng thức hương vị của bông cải xanh sớm để làm quen với đa dạng các loại mùi vị hơn và tập thói quen ăn rau ngay từ bé.
Gợi ý cách chế biến cho món ăn là luộc cho đến khi mềm, cắt thành từng miếng nhỏ để tránh cho con bị nghẹn sau đó làm lạnh. Một số em bé thích màu sắc bên ngoài cùng hương vị cũng như ăn khi lạnh.","Bông cải xanh và rau xanh đậm như cải xoăn và rau bina, chứa nhiều chất dinh dưỡng mà phụ nữ mang thai cần. Chúng bao gồm chất xơ, vitamin C, vitamin K, vitamin A, canxi, sắt, folate và kali, giúp ngăn ngừa táo bón, sinh con nhẹ cân.","good",,,good,good,,
asparagus,,,,"Măng tây là một loại rau có hàm lượng calo thấp và cũng là nguồn cung cấp kali và folate tốt. Có chất chống oxy hóa lành mạnh trong thân cây của nó và nó cung cấp một số chất dinh dưỡng thiết yếu, bao gồm vitamin B6, magiê, kẽm và canxi. Nó cũng cung cấp một lượng tốt chất xơ, rutin, vitamin A, protein, vitamin E, vitamin K, mangan, sắt, phốt pho … Măng tây xanh rất giàu vitamin C. Mang nhiều chất dinh dưỡng thiết yếu, măng tây là một loại thực phẩm có ích cho trẻ nhỏ.","Măng tây được xem là loại rau thần dược bởi chứa nhiều chất dinh dưỡng, chất xơ, đạm, glucid, các vitammin K, C, A, pyridoxine (B6), riboflavin (B2), thiamin (B1), acid folid,  rất tốt cho sức khỏe  của bà bầu và thai nhi.",,,,,good,,
yam,,,,"Khoai lang là một trong những thực phẩm phổ biến cho trẻ sơ sinh, những người có xu hướng thích cả vị ngọt và kết cấu của chúng. Khoai lang chứa đầy beta-carotene, vitamin C và khoáng chất, bao gồm sắt, đồng. Bố mẹ có thể nghiền nhuyễn cho con ăn.","Khoai lang rất giàu chất xơ và beta-carotene, một hợp chất thực vật được chuyển hóa thành vitamin A trong cơ thể. Khoai lang rất quan trọng cho sự phát triển của thai nhi khỏe mạnh.",,,,good,good,,
tomatoes,"Trong cà chua có chất Lycopene, đây chính là chất dinh dưỡng quan trọng giúp chống lại quá trình lão hóa và ung thư vô cùng hiệu quả. Bạn hãy chế biến cà chua trong các món ăn hàng ngày của gia đình để chăm sóc sức khỏe cho gia đình nói chung và đặc biệt là sức khỏe người lớn tuổi được hiệu quả hơn.",,,"Bạn đã biết những công dụng của cà chua chưa? Cà chua là một loại quả rất giàu các vitamin, khoáng chất và chất xơ nên tốt cho sức khỏe của trẻ nhỏ. Vì vậy, bạn đừng ngần ngại mà hãy bổ sung loại quả này vào khẩu phần ăn hằng ngày của bé nhé. ","Cà chua là loại thực phẩm tuyệt vời cho mẹ bầu. Tuy nhiên, bên cạnh những lợi ích vượt trội, bạn cũng nên ăn cà chua đúng cách để tránh những tác hại mà cà chua gây ra.
https://hellobacsi.com/mang-thai/cham-soc-me-bau/luu-y-khi-ba-bau-an-ca-chua/",good,,,good,moderate,,
